Propagation Depth,count,mean,median,std
1,485,0.8910085943556324,0.9088809490203856,0.06432841780615012
2,1025,0.9206333244864534,0.9528663754463196,0.088967350370648
3,2067,0.9369490276184068,0.964569091796875,0.08029139956810098
4,3222,0.9433733001490101,0.9669588208198546,0.07545828164200931
5,3110,0.9493440249305926,0.969389945268631,0.06758698690426924
6,1574,0.950434963444894,0.9690853953361511,0.06319317444962824
7,359,0.9518759261432796,0.9711567759513856,0.058562554215846496
8,38,0.9640535508331499,0.9774245619773864,0.030922867875173662
