Propagation Depth,count,mean,median,std
1,479,0.8535964207758734,0.8716621994972229,0.07934490372506227
2,969,0.8769785547158051,0.8926161527633667,0.07955257147742255
3,1960,0.8934959681970732,0.9083423912525177,0.07146325679108928
4,3130,0.9053427897131862,0.9204061329364777,0.06578836166105871
5,3051,0.9086645036320419,0.9247233271598816,0.06454859676579824
6,1663,0.9121461909934117,0.9287420511245728,0.06557724941028845
7,506,0.9067179440509661,0.9224520623683929,0.06748657952867536
8,105,0.9103419831820897,0.9257687330245972,0.0664168030489618
9,17,0.924524254658643,0.932049572467804,0.0717639882993784
