Propagation Depth,count,mean,median,std,Change From Previous
1,479,0.853596421,0.871662199,0.079344904,
2,969,0.804802851,0.812596202,0.088876793,-0.048793569
3,1960,0.78265197,0.791525245,0.093394,-0.022150881
4,3130,0.767928153,0.777049929,0.096134396,-0.014723817
5,3051,0.750612525,0.762119174,0.103662057,-0.017315628
6,1663,0.735711893,0.745671391,0.106756968,-0.014900632
7,506,0.712894854,0.708184808,0.119145321,-0.022817039
8,105,0.70547386,0.697464466,0.116095499,-0.007420994
9,17,0.75313247,0.802009106,0.116312788,0.04765861
