Propagation Depth,Headline Mean,Headline Median,Article Mean,Article Median,Difference,,,Propagation Depth,Headline Mean,Article Mean
1,0.153438205,0.190146491,0.059561545,0.027666753,-0.09387666,,,1,0.153438205,0.059561545
2,0.147507419,0.175253213,0.034430119,-0.009862688,-0.1130773,,,2,0.147507419,0.034430119
3,0.126055239,0.143588297,0.026467679,-0.017258591,-0.099587559,,,3,0.126055239,0.026467679
4,0.11917284,0.140458144,0.021706027,-0.020072302,-0.097466813,,,4,0.11917284,0.021706027
5,0.113945594,0.123482567,0.021440116,-0.011840295,-0.092505477,,,5,0.113945594,0.021440116
6,0.101965948,0.124887414,0.01646569,-0.018079012,-0.085500258,,,6,0.101965948,0.01646569
7,0.101534072,0.118751205,0.02010164,-0.009088721,-0.081432432,,,7,0.101534072,0.02010164
8,0.095737722,0.104461663,0.013457555,-0.013977721,-0.082280167,,,8,0.095737722,0.013457555
