Propagation Depth,Headline Mean,Headline Median,Article Mean,Article Median,Difference,,,Propagation Depth,Headline Mean,Article Mean
1,0.878266807,0.897021055,0.92197485,0.935764909,0.043708043,,,1,0.878266807,0.92197485
2,0.835751274,0.860467315,0.891681779,0.913572788,0.055930505,,,2,0.835751274,0.891681779
3,0.817838338,0.846800506,0.879620779,0.901570976,0.061782441,,,3,0.817838338,0.879620779
4,0.802688245,0.826379478,0.861102194,0.883339971,0.058413949,,,4,0.802688245,0.861102194
5,0.794295893,0.820733041,0.851014201,0.871319681,0.056718308,,,5,0.794295893,0.851014201
6,0.781741421,0.816486716,0.853330282,0.868000627,0.07158886,,,6,0.781741421,0.853330282
7,0.765281691,0.804713309,0.854588011,0.863824964,0.08930632,,,7,0.765281691,0.854588011
8,0.751392374,0.798297346,0.850552373,0.844606936,0.09916,,,8,0.751392374,0.850552373
